# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
ScaledBy=2.55102040816326554e-04
Title=quark-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.551020e-02	2.551020e-02	2.551020e-02
1.000000e-02	2.000000e-02	2.551020e-02	2.551020e-02	2.551020e-02
2.000000e-02	3.000000e-02	2.551020e-02	2.551020e-02	2.551020e-02
3.000000e-02	4.000000e-02	7.142857e-01	1.349873e-01	1.349873e-01
4.000000e-02	5.000000e-02	2.066327e+00	2.295918e-01	2.295918e-01
5.000000e-02	6.000000e-02	3.877551e+00	3.145109e-01	3.145109e-01
6.000000e-02	7.000000e-02	5.918367e+00	3.885599e-01	3.885599e-01
7.000000e-02	8.000000e-02	6.836735e+00	4.176200e-01	4.176200e-01
8.000000e-02	9.000000e-02	6.836735e+00	4.176200e-01	4.176200e-01
9.000000e-02	1.000000e-01	7.346939e+00	4.329225e-01	4.329225e-01
1.000000e-01	1.100000e-01	6.403061e+00	4.041576e-01	4.041576e-01
1.100000e-01	1.200000e-01	5.484694e+00	3.740531e-01	3.740531e-01
1.200000e-01	1.300000e-01	4.413265e+00	3.355343e-01	3.355343e-01
1.300000e-01	1.400000e-01	3.724490e+00	3.082410e-01	3.082410e-01
1.400000e-01	1.500000e-01	4.158163e+00	3.256925e-01	3.256925e-01
1.500000e-01	1.600000e-01	3.494898e+00	2.985893e-01	2.985893e-01
1.600000e-01	1.700000e-01	2.933673e+00	2.735665e-01	2.735665e-01
1.700000e-01	1.800000e-01	2.882653e+00	2.711772e-01	2.711772e-01
1.800000e-01	1.900000e-01	2.780612e+00	2.663344e-01	2.663344e-01
1.900000e-01	2.000000e-01	2.423469e+00	2.486427e-01	2.486427e-01
2.000000e-01	2.100000e-01	2.372449e+00	2.460115e-01	2.460115e-01
2.100000e-01	2.200000e-01	2.066327e+00	2.295918e-01	2.295918e-01
2.200000e-01	2.300000e-01	1.632653e+00	2.040816e-01	2.040816e-01
2.300000e-01	2.400000e-01	1.836735e+00	2.164613e-01	2.164613e-01
2.400000e-01	2.500000e-01	1.454082e+00	1.925978e-01	1.925978e-01
2.500000e-01	2.600000e-01	1.556122e+00	1.992411e-01	1.992411e-01
2.600000e-01	2.700000e-01	1.275510e+00	1.803844e-01	1.803844e-01
